#Line    Trace        X           Y           Time        Flag            FaultName 
2021   4222     576887.500    4209177.881       2366.800   24                    F01
2021   4193     576887.500    4208815.314       2553.000   24                    F01
2021   4158     576887.500    4208369.494       2729.400   24                    F01
2021   4123     576887.500    4207932.171       2891.000   24                    F01
2021   4087     576887.500    4207490.429       3028.200   24                    F01
2021   4045     576887.500    4206965.442       3192.400   24                    F01
2021   4001     576887.500    4206415.301       3336.800   24                    F01
2021   3959     576887.500    4205890.310       3491.400   24                    F01
2021   3915     576887.500    4205340.515       3645.600   24                    F01
2021   3876     576887.500    4204848.822       3758.400   24                    F01
2041   4375     577137.500    4211086.200       1455.600   25                    F01
2041   4354     577137.500    4210823.535       1565.800   25                    F01
2041   4331     577137.500    4210540.481       1715.200   25                    F01
2041   4308     577137.500    4210248.590       1864.800   25                    F01
2041   4282     577137.500    4209927.820       2053.400   25                    F01
2041   4262     577137.500    4209669.574       2205.200   25                    F01
2041   4234     577137.500    4209327.734       2384.000   25                    F01
2041   4203     577137.500    4208936.282       2562.800   25                    F01
2041   4161     577137.500    4208415.368       2758.800   25                    F01
2041   4127     577137.500    4207990.277       2920.600   25                    F01
2041   4085     577137.500    4207465.286       3092.000   25                    F01
2041   4036     577137.500    4206852.966       3290.400   25                    F01
2041   4000     577137.500    4206398.651       3422.800   25                    F01
2041   3961     577137.500    4205911.038       3574.600   25                    F01
2041   3926     577137.500    4205469.638       3704.400   25                    F01
2041   3899     577137.500    4205131.875       3785.400   25                    F01
2121   4400     578137.500    4211398.477       1487.400   26                    F01
2121   4360     578137.500    4210902.710       1705.400   26                    F01
2121   4332     578137.500    4210548.636       1906.400   26                    F01
2121   4304     578137.500    4210202.719       2107.200   26                    F01
2121   4269     578137.500    4209756.900       2349.600   26                    F01
2121   4240     578137.500    4209398.752       2528.600   26                    F01
2121   4208     578137.500    4209002.881       2695.200   26                    F01
2121   4178     578137.500    4208623.666       2859.400   26                    F01
2121   4145     578137.500    4208215.228       3021.000   26                    F01
2121   4108     578137.500    4207748.681       3202.400   26                    F01
2121   4077     578137.500    4207365.384       3349.200   26                    F01
2121   4040     578137.500    4206902.917       3491.400   26                    F01
2121   4007     578137.500    4206481.903       3604.000   26                    F01
2121   3978     578137.500    4206123.755       3709.400   26                    F01
2121   3962     578137.500    4205928.027       3756.000   26                    F01
2141   4425     578387.500    4211707.016       1362.400   27                    F01
2141   4402     578387.500    4211423.620       1529.000   27                    F01
2141   4378     578387.500    4211123.578       1744.600   27                    F01
2141   4362     578387.500    4210927.853       1859.800   27                    F01
2141   4342     578387.500    4210673.681       2031.200   27                    F01
2141   4316     578387.500    4210352.911       2229.600   27                    F01
2141   4290     578387.500    4210019.568       2403.600   27                    F01
2141   4265     578387.500    4209711.029       2538.400   27                    F01
2141   4239     578387.500    4209390.256       2653.400   27                    F01
2141   4213     578387.500    4209061.328       2793.000   27                    F01
2141   4187     578387.500    4208736.139       2920.400   27                    F01
2141   4157     578387.500    4208365.417       3072.400   27                    F01
2141   4132     578387.500    4208052.801       3202.400   27                    F01
2141   4096     578387.500    4207594.409       3386.000   27                    F01
